epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
133,2076.76,1.87555,0.88566,0.90102,0.94356,0.38917,0.66058,0.37988,1.65207,0.85365,0.89616,0.00112088,0.00112088,0.00112088
134,2092.23,1.89093,0.88372,0.89372,0.93794,0.38738,0.65631,0.3785,1.65304,0.8514,0.89874,0.00111422,0.00111422,0.00111422
135,2108.14,1.88443,0.88004,0.90713,0.93776,0.38656,0.65514,0.37423,1.66353,0.85002,0.89804,0.00110756,0.00110756,0.00110756
136,2123.6,1.86627,0.87412,0.892,0.94128,0.38888,0.65895,0.38026,1.63372,0.86659,0.89301,0.0011009,0.0011009,0.0011009
137,2139.2,1.86479,0.88172,0.89165,0.94469,0.38935,0.65936,0.37733,1.64082,0.85957,0.89132,0.00109424,0.00109424,0.00109424
138,2155.04,1.85539,0.87819,0.89999,0.9456,0.39005,0.66185,0.38204,1.65147,0.84803,0.89289,0.00108758,0.00108758,0.00108758
139,2171.05,1.88144,0.88472,0.89905,0.94444,0.39057,0.66225,0.38457,1.6293,0.8444,0.89163,0.00108092,0.00108092,0.00108092
140,2186.74,1.86224,0.87191,0.9016,0.94204,0.38873,0.65889,0.38112,1.65021,0.84853,0.89504,0.00107426,0.00107426,0.00107426
141,2202.4,1.86737,0.87805,0.8944,0.94279,0.38939,0.65992,0.37771,1.67088,0.84717,0.89279,0.0010676,0.0010676,0.0010676
142,2217.72,1.84775,0.88678,0.90028,0.94211,0.38901,0.65983,0.38236,1.64715,0.85145,0.89382,0.00106094,0.00106094,0.00106094
143,2232.7,1.81107,0.86918,0.89602,0.94449,0.38969,0.66059,0.38304,1.62548,0.84396,0.8909,0.00105428,0.00105428,0.00105428
144,2248.39,1.85189,0.87186,0.88767,0.94548,0.39007,0.66142,0.38473,1.63216,0.85247,0.89044,0.00104762,0.00104762,0.00104762
145,2264.25,1.85065,0.87417,0.89993,0.94675,0.39065,0.66282,0.38459,1.62892,0.84127,0.89117,0.00104096,0.00104096,0.00104096
146,2280.18,1.86959,0.87438,0.89022,0.94398,0.38913,0.65994,0.38475,1.61303,0.85085,0.88898,0.0010343,0.0010343,0.0010343
147,2295.69,1.81319,0.87928,0.89957,0.94591,0.39006,0.66111,0.38491,1.61092,0.84591,0.88829,0.00102764,0.00102764,0.00102764
148,2311.48,1.86761,0.87778,0.89351,0.94599,0.38961,0.66088,0.38437,1.63745,0.84863,0.89214,0.00102098,0.00102098,0.00102098
149,2327.54,1.85746,0.87044,0.892,0.94166,0.38811,0.65905,0.37983,1.64502,0.8591,0.89819,0.00101432,0.00101432,0.00101432
150,2342.96,1.82119,0.88465,0.89908,0.94283,0.38733,0.65837,0.37986,1.6354,0.85555,0.89384,0.00100766,0.00100766,0.00100766
151,2357.97,1.84818,0.87838,0.89413,0.9443,0.3895,0.66124,0.38296,1.63693,0.85032,0.89463,0.001001,0.001001,0.001001
152,2373.59,1.87139,0.8809,0.89346,0.94322,0.38943,0.66074,0.37864,1.63893,0.85624,0.89248,0.00099434,0.00099434,0.00099434
153,2389.01,1.85234,0.87344,0.89382,0.94654,0.39069,0.66312,0.38892,1.61791,0.8402,0.88976,0.00098768,0.00098768,0.00098768
154,2404.97,1.83131,0.87472,0.89597,0.94754,0.39066,0.66254,0.38954,1.61095,0.83586,0.88626,0.00098102,0.00098102,0.00098102
155,2420.98,1.84383,0.88155,0.89993,0.94036,0.38795,0.65687,0.37636,1.64786,0.85867,0.89048,0.00097436,0.00097436,0.00097436
156,2437.13,1.84467,0.88259,0.89562,0.94642,0.39047,0.6622,0.3848,1.62501,0.84442,0.88616,0.0009677,0.0009677,0.0009677
157,2452.53,1.79823,0.86971,0.89163,0.94365,0.38992,0.66153,0.38635,1.62322,0.85308,0.89131,0.00096104,0.00096104,0.00096104
